,Actual Vote of Justice 1,Actual Vote of Justice 2,Actual Vote of Justice 3,Actual Vote of Justice 4,Actual Vote of Justice 5,Actual Vote of Justice 6,Actual Vote of Justice 7,Actual Vote of Justice 8,Actual Vote of Justice 9,Actual Winning Party,Case IDs,Code for Justice 1,Code for Justice 2,Code for Justice 3,Code for Justice 4,Code for Justice 5,Code for Justice 6,Code for Justice 7,Code for Justice 8,Code for Justice 9,Prediction Vote of Justice 1,Prediction Vote of Justice 2,Prediction Vote of Justice 3,Prediction Vote of Justice 4,Prediction Vote of Justice 5,Prediction Vote of Justice 6,Prediction Vote of Justice 7,Prediction Vote of Justice 8,Prediction Vote of Justice 9,Prediction for Winning Party
867,[1],[2],[4],[1],[2],[1],[1],[1],[4],[1],2003048,104,105,106,107,108,109,110,102,103,1,2,1,1,2,1,1,1,1,1
868,[2],[1],[2],[3],[1],[3],[3],[1],[1],[0],1972167,100,101,102,81,94,98,92,95,99,2,1,2,1,1,1,1,1,1,1
869,[1],[1],[2],[2],[1],[1],[2],[1],[1],[0],1948101,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,2,1,1,0
870,[1],[1],[1],[2],[3],[1],[1],[2],[2],[0],1979087,94,98,92,95,99,100,101,102,103,1,1,1,2,1,1,1,2,1,1
871,[1],[1],[1],[1],[1],[2],[1],[2],[2],[1],1975102,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,2,1,1
872,[3],[1],[3],[3],[3],[1],[3],[1],[1],[1],2016060,108,109,110,112,113,114,115,111,106,1,1,1,1,1,1,1,1,1,0
873,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1964096,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,1,1,1
874,[1],[4],[1],[4],[2],[2],[1],[3],[2],[1],1996083,106,107,108,109,110,102,103,104,105,1,1,1,1,2,1,1,1,2,1
875,[1],[2],[1],[2],[2],[1],[2],[1],[1],[1],1998053,106,107,108,109,110,102,103,104,105,1,2,1,2,2,1,2,1,1,1
876,[1],[1],[1],[1],[1],[1],[1],[2],[4],[0],1979041,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,2,1,0
877,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1977125,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,0
878,[1],[1],[2],[1],[1],[1],[1],[1],[2],[1],1995019,106,107,108,109,110,102,103,104,105,1,1,2,1,1,1,1,1,2,0
879,[1],[1],[1],[1],[1],[1],[2],[1],[1],[1],2007018,108,109,110,111,112,103,105,106,107,1,1,1,1,1,1,2,1,1,1
880,[1],[1],[3],[1],[1],[1],[1],[1],[1],[0],1984005,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,0
881,[3],[3],[4],[3],[1],[1],[5],[1],[2],[1],2013025,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,2,1
882,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1990063,95,100,102,103,104,105,106,107,98,1,1,1,1,1,1,1,1,1,1
883,[3],[1],[1],[3],[1],[1],[1],[1],[1],[1],1994066,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,1
884,[2],[2],[1],[2],[1],[2],[4],[4],[1],[0],1988114,98,92,95,100,102,103,104,105,106,2,2,1,2,1,2,1,1,1,1
885,[1],[1],[1],[1],[1],[1],[2],[2],[2],[1],1983168,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,2,1,2,1
886,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1983048,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,0
887,[1],[3],[3],[1],[2],[1],[2],[2],[2],[1],1987061,98,92,95,100,102,103,104,105,106,1,1,1,1,1,1,2,2,2,0
888,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1979071,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
889,[1],[2],[1],[1],[1],[1],[1],[1],[2],[1],1954073,89,91,78,81,90,88,80,86,79,1,2,1,1,1,1,1,1,2,0
890,[2],[1],[1],[2],[1],[1],[1],[2],[2],[0],1968058,94,98,92,95,90,97,91,78,81,2,1,1,2,1,1,2,1,1,0
891,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],2010051,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,1,0
892,[2],[2],[1],[1],[1],[1],[4],[2],[4],[1],1983131,98,92,95,99,100,101,102,103,104,2,2,1,1,1,1,1,2,1,1
893,[1],[5],[4],[4],[1],[1],[2],[2],[2],[1],1985078,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,2,2,2,1
894,[1],[1],[2],[1],[1],[1],[2],[2],[2],[1],1948069,86,84,81,80,79,78,85,82,87,1,2,1,2,1,1,1,1,1,1
895,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1957071,93,86,91,78,81,92,90,88,80,1,1,1,1,1,1,1,1,1,1
896,[1],[1],[3],[1],[3],[1],[3],[3],[2],[1],1986140,98,92,95,100,102,103,104,105,98,1,1,1,1,1,1,1,1,1,0
897,[4],[4],[4],[1],[1],[1],[1],[1],[1],[1],1970104,94,98,92,95,99,100,91,78,81,1,1,1,1,1,1,1,1,1,1
898,[4],[1],[1],[1],[1],[1],[1],[1],[2],[1],1968033,94,98,92,95,90,97,91,78,81,1,1,1,1,1,1,2,2,1,1
899,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1988012,98,92,95,100,102,103,104,105,106,1,1,1,1,1,1,1,1,1,0
900,[1],[1],[1],[2],[2],[2],[2],[1],[1],[1],1957029,93,86,91,78,81,92,90,88,80,1,1,1,2,2,1,2,1,1,1
901,[2],[2],[3],[3],[2],[1],[1],[1],[1],[1],1994088,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,1
902,[2],[1],[2],[1],[2],[1],[2],[1],[1],[0],1963080,81,94,92,95,90,88,96,91,78,1,2,1,2,1,2,1,1,1,1
903,[2],[1],[3],[1],[1],[1],[2],[1],[1],[1],1963083,81,88,91,92,94,95,96,91,78,2,1,1,1,1,1,1,1,1,1
904,[2],[2],[4],[1],[1],[1],[4],[2],[1],[1],1983124,98,92,95,99,100,101,102,103,104,2,2,1,1,1,1,1,2,1,1
905,[1],[1],[1],[1],[1],[1],[1],[1],[3],[1],2002034,108,109,110,102,103,104,105,106,107,1,1,1,1,1,1,1,1,1,1
906,[1],[4],[2],[1],[1],[1],[1],[1],[2],[1],1957040,92,93,91,78,81,92,90,88,80,1,1,2,1,1,1,1,1,1,1
907,[2],[1],[2],[2],[1],[1],[1],[2],[1],[1],1968015,94,98,92,95,90,97,91,78,81,1,1,1,1,1,1,1,1,1,1
908,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],2000074,108,109,110,102,103,104,105,106,107,1,1,1,1,1,1,1,1,1,1
909,[1],[1],[1],[1],[1],[4],[1],[2],[1],[1],1980032,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,2,1,1
910,[4],[1],[1],[1],[1],[1],[1],[1],[4],[0],1992078,103,104,105,106,107,108,95,100,102,1,1,1,1,1,1,1,1,1,0
911,[1],[1],[4],[4],[1],[4],[4],[1],[1],[0],1982054,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,0
912,[1],[1],[2],[2],[1],[4],[2],[1],[2],[1],1985120,98,92,95,99,100,101,102,103,104,2,1,1,1,1,1,1,1,1,0
913,[1],[2],[1],[2],[1],[1],[2],[1],[1],[0],1986125,102,92,95,98,100,101,103,104,105,1,2,1,2,1,1,2,1,1,1
914,[1],[2],[1],[2],[1],[2],[1],[2],[1],[1],1948008,86,84,81,80,79,78,85,82,87,1,2,1,2,1,1,1,1,1,1
915,[1],[2],[1],[1],[1],[1],[4],[2],[1],[1],1963155,81,94,92,95,90,88,96,91,78,1,2,1,1,1,1,1,2,1,1
916,[1],[2],[2],[1],[1],[1],[3],[2],[3],[0],1996050,106,107,108,109,110,102,103,104,105,1,2,1,1,1,1,1,1,1,1
917,[1],[1],[4],[1],[1],[1],[1],[1],[1],[0],1947017,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,1,1,1,0
918,[1],[1],[2],[1],[2],[1],[1],[2],[1],[1],1950093,89,88,86,84,81,80,79,78,87,1,1,2,1,2,1,1,2,1,1
919,[4],[4],[1],[1],[1],[4],[1],[1],[1],[0],1989083,98,92,95,100,102,103,104,105,106,1,1,1,1,1,1,1,1,1,1
920,[1],[1],[4],[1],[1],[1],[1],[1],[1],[1],1946018,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,1,1,1,1
921,[1],[2],[1],[1],[1],[1],[2],[2],[1],[1],1954077,89,91,78,81,90,88,80,86,79,1,2,1,1,1,1,1,1,1,0
922,[1],[2],[1],[2],[1],[1],[1],[1],[2],[1],1990008,95,100,102,103,104,105,106,107,98,1,2,1,2,1,1,1,1,2,1
923,[1],[2],[1],[1],[1],[1],[1],[1],[1],[1],1963079,81,94,92,95,90,88,96,91,78,1,2,1,1,1,1,1,1,1,0
924,[3],[3],[1],[1],[1],[1],[1],[1],[1],[1],2010027,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,1,1
925,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1992053,103,104,105,106,107,108,95,100,102,1,1,1,1,1,1,1,1,1,1
926,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1992087,105,106,107,108,109,100,102,103,104,1,1,1,1,1,1,1,1,1,0
927,[1],[2],[1],[1],[1],[4],[1],[1],[1],[1],1985011,98,92,95,99,100,101,102,103,104,1,2,1,1,1,1,1,1,1,0
928,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1982072,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
929,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],2001052,108,109,110,102,103,104,105,106,107,1,1,1,1,1,1,1,1,1,1
930,[4],[4],[1],[4],[4],[1],[1],[1],[1],[1],1948083,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,1,1,1,1
931,[2],[1],[1],[1],[2],[1],[1],[4],[1],[0],2014048,113,114,111,106,108,109,110,112,113,1,1,1,1,2,1,1,1,1,1
932,[1],[1],[1],[2],[1],[2],[2],[1],[4],[0],1984156,98,92,95,99,100,101,102,103,104,1,1,1,2,1,2,2,1,1,0
933,[1],[2],[2],[2],[1],[1],[2],[1],[1],[1],1979083,94,98,92,95,99,100,101,102,103,1,2,2,1,1,1,1,1,1,1
934,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1967042,94,98,92,95,90,97,90,78,81,1,1,1,1,1,1,1,1,1,1
935,[1],[1],[1],[2],[2],[1],[1],[3],[1],[1],1971165,100,101,102,81,94,98,92,95,99,1,1,1,2,1,1,1,1,1,1
936,[1],[2],[1],[1],[2],[1],[2],[1],[1],[0],2014043,112,113,114,111,105,106,108,109,110,1,1,1,1,1,1,1,1,1,1
937,[1],[1],[1],[1],[1],[2],[2],[1],[1],[1],2001063,108,109,110,102,103,104,105,106,107,1,1,1,1,1,1,2,1,1,1
938,[2],[1],[1],[1],[2],[1],[1],[2],[2],[1],1979092,94,98,92,95,99,100,101,102,103,2,1,1,1,1,1,1,1,1,1
939,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1991002,103,104,105,106,107,108,95,100,102,1,1,1,1,1,1,1,1,1,1
940,[2],[2],[2],[1],[1],[1],[1],[1],[4],[0],1971122,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1
941,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1963099,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,1,1,1
942,[3],[2],[2],[3],[3],[1],[1],[1],[1],[1],2011071,109,110,112,113,114,111,105,106,108,2,1,1,2,2,1,1,1,1,1
943,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1967039,94,98,92,95,90,97,91,78,81,1,1,1,1,1,1,1,1,1,1
944,[2],[1],[1],[1],[2],[1],[1],[1],[2],[1],1948073,86,84,81,80,79,78,85,82,87,2,1,1,1,1,1,1,1,2,1
945,[1],[1],[1],[1],[1],[1],[1],[1],[2],[0],1962022,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,1,1,1
946,[2],[1],[1],[1],[1],[1],[1],[2],[4],[1],1964049,81,94,92,95,90,88,96,90,78,2,1,1,1,1,1,1,1,1,1
947,[1],[2],[1],[1],[1],[1],[4],[1],[1],[1],1970026,94,98,92,95,99,100,91,78,81,1,1,1,1,1,1,1,4,1,1
948,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1989104,98,92,95,100,102,103,104,105,106,1,1,1,1,1,1,1,1,1,1
949,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1975179,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
950,[1],[2],[2],[1],[1],[2],[2],[1],[1],[1],1976178,94,98,92,95,99,100,101,102,103,1,2,2,1,1,2,1,1,1,1
951,[2],[1],[2],[1],[1],[1],[1],[1],[1],[0],1946121,87,78,79,80,81,82,84,85,86,1,1,1,1,1,1,1,1,1,1
952,[1],[4],[1],[1],[1],[1],[1],[1],[1],[0],1956129,92,93,91,78,81,92,90,88,80,1,1,1,1,1,1,1,1,1,1
953,[1],[1],[1],[3],[1],[1],[3],[1],[1],[0],2011052,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,1,1
954,[1],[1],[1],[4],[1],[1],[4],[1],[1],[1],1956104,93,86,91,78,81,92,90,88,80,1,1,1,1,1,1,1,1,1,0
955,[1],[3],[1],[2],[3],[2],[2],[1],[1],[1],1973126,100,101,102,81,94,98,92,95,99,1,1,1,2,1,2,2,1,1,1
956,[2],[2],[1],[1],[1],[1],[1],[2],[1],[1],1957101,93,86,91,78,81,92,90,88,80,1,1,1,1,1,1,1,2,1,1
957,[2],[1],[2],[1],[1],[1],[2],[1],[1],[0],1994048,106,107,108,109,110,102,103,104,105,1,2,2,2,1,1,2,1,1,1
958,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1977093,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
959,[2],[1],[1],[1],[1],[1],[1],[4],[1],[1],1991015,103,104,105,106,107,108,95,100,102,2,1,1,1,1,1,1,2,1,1
960,[1],[2],[2],[2],[1],[4],[1],[5],[2],[1],1975086,94,98,92,95,99,100,101,102,103,1,2,2,1,1,1,1,1,2,1
961,[2],[1],[1],[1],[1],[1],[1],[1],[1],[1],1962093,81,94,92,95,90,88,96,91,78,2,1,1,1,1,1,1,1,1,1
962,[2],[2],[5],[2],[1],[2],[4],[1],[1],[0],1987145,98,92,95,100,102,103,104,105,106,2,2,1,2,1,2,1,1,1,1
963,[1],[1],[1],[2],[1],[2],[2],[1],[1],[0],1972178,100,101,102,81,94,98,92,95,99,1,1,1,2,1,2,2,1,1,1
964,[2],[1],[4],[1],[1],[1],[1],[2],[1],[0],1957091,93,86,91,78,81,92,90,88,80,2,1,1,1,1,1,1,2,1,1
965,[1],[2],[1],[2],[1],[4],[1],[1],[1],[1],2000013,107,108,109,110,102,103,104,105,106,1,2,1,2,1,1,1,1,1,1
966,[2],[1],[1],[2],[1],[1],[4],[2],[1],[1],1970138,81,94,98,92,95,99,100,81,94,2,1,1,1,1,1,1,2,1,1
967,[1],[1],[1],[4],[1],[1],[1],[2],[1],[1],1962089,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,2,1,1
968,[1],[1],[1],[4],[1],[1],[1],[1],[1],[1],1952038,78,79,80,81,84,86,88,89,89,1,1,1,1,1,1,1,1,1,1
969,[1],[1],[2],[1],[1],[2],[2],[1],[1],[1],2014022,109,110,112,113,114,111,105,106,108,1,1,2,1,1,1,1,1,2,1
970,[1],[1],[1],[1],[1],[1],[1],[2],[1],[1],1963107,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,2,1,1
971,[1],[2],[1],[2],[1],[1],[1],[3],[1],[1],1964121,81,94,92,95,90,88,96,91,78,1,2,1,2,1,1,1,1,1,1
972,[2],[1],[1],[1],[1],[1],[1],[1],[1],[1],2000051,108,109,110,102,103,104,105,106,107,1,1,1,1,1,1,1,1,1,0
973,[1],[1],[1],[1],[1],[1],[1],[1],[2],[0],1965130,94,92,95,90,88,97,91,78,81,1,1,1,1,1,1,2,1,1,1
974,[1],[1],[1],[1],[1],[1],[2],[1],[1],[1],1950087,89,88,86,84,81,80,79,78,87,1,1,1,1,1,1,1,1,1,1
975,[2],[1],[1],[1],[1],[1],[1],[1],[1],[0],1953018,81,90,88,80,86,79,89,84,78,2,1,1,1,1,1,1,1,1,0
976,[1],[1],[1],[1],[1],[2],[1],[1],[2],[1],1958087,80,93,91,78,81,94,92,90,88,1,1,1,1,1,2,1,1,2,0
977,[2],[2],[1],[1],[1],[1],[1],[4],[1],[1],1991071,103,104,105,106,107,108,95,100,102,2,2,1,1,1,1,1,1,1,1
978,[2],[4],[1],[1],[1],[1],[1],[1],[1],[0],1960084,80,93,91,78,81,94,92,90,88,2,1,1,1,1,1,1,1,1,0
979,[1],[1],[1],[2],[1],[1],[1],[1],[2],[0],1946064,86,84,81,80,79,78,85,82,87,1,1,1,2,1,1,1,1,2,0
980,[1],[2],[2],[2],[1],[1],[1],[1],[1],[0],1946085,86,84,81,80,79,78,85,82,87,1,2,2,2,1,1,1,1,1,0
981,[2],[2],[2],[1],[1],[1],[1],[1],[2],[1],1978087,94,98,92,95,99,100,101,102,103,2,2,2,1,1,1,1,1,2,1
982,[3],[1],[1],[2],[1],[1],[1],[1],[1],[1],2017027,108,109,110,112,113,114,115,111,106,1,1,1,1,1,1,1,1,1,1
983,[1],[1],[2],[1],[1],[1],[1],[1],[1],[1],1952016,88,86,84,81,80,79,78,87,89,1,1,2,1,1,1,1,1,1,0
984,[2],[2],[1],[1],[2],[1],[1],[2],[1],[0],1982031,98,92,95,99,100,101,102,103,104,2,2,1,1,2,1,1,2,1,1
985,[1],[1],[2],[2],[2],[1],[1],[1],[1],[0],1955080,89,91,78,81,90,88,80,86,79,1,1,1,2,1,1,1,1,1,0
986,[1],[1],[1],[1],[1],[4],[1],[1],[2],[1],1990082,95,100,102,103,104,105,106,107,98,1,1,1,1,1,1,1,1,1,1
987,[1],[1],[2],[1],[1],[1],[2],[2],[4],[1],1969084,78,81,94,98,92,95,99,91,78,1,1,2,1,1,1,1,1,2,1
988,[2],[2],[2],[1],[1],[1],[1],[1],[2],[0],1959126,80,93,91,78,81,94,92,90,88,1,1,2,1,1,1,1,1,1,0
989,[1],[1],[1],[1],[1],[1],[1],[1],[4],[1],1990109,103,104,105,106,107,108,102,95,100,1,1,1,1,1,1,1,1,1,1
990,[1],[2],[3],[3],[1],[3],[1],[1],[1],[0],1991012,103,104,105,106,107,108,95,100,102,1,2,1,1,1,1,1,1,1,1
991,[3],[1],[1],[1],[3],[1],[1],[1],[3],[1],1985062,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
992,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],2016027,108,109,110,112,113,114,115,111,106,1,1,1,1,1,1,1,1,1,1
993,[1],[1],[4],[1],[1],[2],[1],[2],[1],[1],2013007,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,2,1
994,[1],[1],[3],[1],[2],[2],[1],[2],[1],[0],1986014,98,92,95,100,101,102,103,104,105,1,1,1,1,2,2,1,2,1,1
995,[4],[3],[3],[1],[1],[1],[4],[4],[1],[1],1980052,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
996,[1],[3],[1],[1],[1],[1],[1],[1],[1],[0],1986058,98,92,95,100,101,102,103,104,105,1,1,1,1,1,1,1,1,1,0
997,[2],[2],[1],[2],[2],[1],[1],[2],[1],[0],1958122,80,93,91,78,81,94,92,90,88,1,1,1,2,2,1,1,2,1,1
998,[1],[1],[1],[1],[1],[2],[1],[2],[1],[1],1962076,81,94,92,95,90,88,96,91,78,1,1,1,1,1,2,1,2,1,1
999,[1],[1],[2],[2],[1],[1],[2],[1],[3],[1],1980140,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,2,1,1,1
1000,[1],[1],[1],[1],[3],[1],[3],[1],[4],[0],1971102,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1
1001,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1962071,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,1,1,1
1002,[1],[2],[2],[1],[1],[1],[2],[1],[1],[1],2006037,108,109,110,111,112,103,105,106,107,1,2,1,1,1,1,2,1,1,1
1003,[1],[1],[2],[1],[1],[1],[1],[1],[1],[0],1966007,94,92,95,90,88,97,91,78,81,1,1,1,1,1,1,1,1,1,1
1004,[1],[2],[1],[2],[2],[1],[1],[1],[1],[1],1990040,95,100,102,103,104,105,106,107,102,1,2,1,1,1,1,1,1,1,0
1005,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1973111,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1
1006,[1],[2],[2],[1],[1],[1],[3],[1],[2],[1],1976089,94,98,92,95,99,100,101,102,103,1,2,2,1,1,1,1,1,2,1
1007,[1],[1],[2],[1],[1],[1],[1],[1],[1],[1],2005058,106,107,108,109,110,111,112,103,105,1,1,2,1,1,1,1,1,1,1
1008,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],2015015,105,106,108,109,110,112,113,114,111,1,1,1,1,1,1,1,1,1,1
1009,[2],[1],[1],[2],[1],[1],[1],[1],[1],[0],2015034,109,110,112,113,114,111,105,106,108,1,1,1,2,1,1,1,1,1,1
1010,[2],[2],[2],[1],[1],[1],[1],[1],[1],[1],1980097,94,98,92,95,99,100,101,102,103,2,2,2,1,1,1,1,1,1,1
1011,[1],[1],[1],[1],[1],[1],[2],[1],[2],[1],2009084,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,2,1,2,1
1012,[2],[2],[1],[2],[2],[1],[2],[1],[1],[1],1957009,93,86,91,78,81,92,90,88,80,1,1,1,2,2,1,2,1,1,1
1013,[1],[1],[2],[1],[1],[1],[1],[2],[3],[1],1957072,93,86,91,78,81,92,90,88,80,1,1,2,1,1,1,1,1,1,1
1014,[2],[2],[3],[1],[1],[1],[1],[4],[1],[1],1983084,98,92,95,99,100,101,102,103,104,2,2,1,1,1,1,1,1,1,1
1015,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1983046,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
1016,[1],[1],[1],[1],[1],[1],[1],[1],[2],[1],1954056,79,89,78,81,90,88,80,86,79,1,2,1,1,1,1,1,1,1,1
1017,[2],[1],[1],[2],[2],[1],[1],[2],[1],[1],1972040,100,101,102,81,94,98,92,95,99,1,1,1,2,1,1,1,1,1,0
1018,[2],[2],[1],[1],[1],[2],[1],[3],[1],[1],1988103,98,92,95,100,102,103,104,105,106,2,2,1,1,1,2,1,1,1,1
1019,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1977030,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,0
1020,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1963076,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,1,1,1
1021,[1],[1],[1],[4],[2],[2],[2],[1],[1],[1],1971098,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1
1022,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1976045,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
1023,[1],[1],[1],[1],[1],[1],[1],[1],[3],[1],2010056,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,1,1
1024,[1],[1],[1],[1],[2],[2],[1],[2],[1],[1],1986021,98,92,95,100,101,102,103,104,105,1,1,1,1,2,2,1,2,1,1
1025,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1978053,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,0
1026,[1],[4],[1],[4],[4],[1],[4],[3],[1],[1],1996055,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,0
1027,[1],[2],[2],[2],[2],[1],[1],[1],[1],[0],1981080,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
1028,[4],[2],[2],[1],[1],[1],[1],[1],[2],[1],1978097,94,98,92,95,99,100,101,102,103,1,2,2,1,1,1,1,1,2,1
1029,[1],[4],[3],[2],[1],[1],[1],[2],[1],[1],1979096,94,98,92,95,99,100,101,102,103,1,1,1,2,1,1,1,2,1,1
1030,[1],[3],[3],[1],[2],[2],[3],[3],[1],[1],1978025,94,98,92,95,99,100,101,102,103,1,1,1,1,2,2,1,1,1,1
1031,[1],[1],[2],[1],[1],[4],[1],[2],[1],[0],1946114,86,84,81,80,79,78,85,82,87,1,1,2,1,1,1,1,1,1,0
1032,[1],[1],[1],[1],[1],[2],[2],[1],[2],[0],1982107,99,92,95,98,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
1033,[3],[1],[1],[3],[3],[1],[1],[1],[4],[0],1997010,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,0
1034,[1],[1],[2],[1],[1],[1],[2],[1],[1],[1],1966075,94,92,95,90,88,97,91,78,81,1,1,1,1,1,1,2,1,1,1
1035,[1],[1],[1],[1],[1],[4],[2],[1],[1],[0],1981088,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,2,1,1,1
1036,[2],[2],[1],[1],[2],[1],[1],[2],[1],[1],1983133,98,92,95,99,100,101,102,103,104,2,2,1,1,2,1,1,2,1,0
1037,[1],[1],[4],[1],[1],[1],[1],[1],[1],[1],2010026,109,110,112,113,114,111,105,106,108,1,1,1,1,1,1,1,1,1,1
1038,[1],[1],[1],[1],[1],[3],[1],[1],[3],[0],1985009,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,0
1039,[1],[1],[1],[3],[2],[1],[2],[2],[4],[1],1989009,98,92,95,100,102,103,104,105,106,1,1,1,1,2,1,2,2,1,0
1040,[1],[1],[1],[1],[1],[1],[1],[1],[4],[1],1982078,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
1041,[1],[1],[1],[2],[1],[1],[1],[1],[1],[0],1961036,93,94,91,78,81,94,92,90,88,1,1,1,2,1,1,1,1,1,1
1042,[1],[1],[1],[4],[1],[4],[1],[4],[1],[0],1992111,105,106,107,108,109,100,102,103,104,1,1,1,1,1,1,1,1,1,1
1043,[1],[1],[2],[1],[1],[1],[2],[2],[1],[1],2017009,108,109,110,112,113,114,115,111,106,1,1,1,1,1,1,1,1,1,1
1044,[2],[2],[1],[1],[4],[1],[1],[1],[1],[1],1981093,98,92,95,99,100,101,102,103,104,2,2,4,1,1,1,1,1,1,1
1045,[2],[2],[1],[1],[4],[1],[1],[2],[1],[0],1985048,98,92,95,99,100,101,102,103,104,2,2,1,1,1,1,1,2,1,1
1046,[1],[1],[2],[1],[1],[2],[1],[1],[2],[1],1998008,106,107,108,109,110,102,103,104,105,1,1,2,1,1,2,1,1,1,1
1047,[1],[1],[2],[1],[1],[2],[1],[2],[1],[1],2010037,109,110,112,113,114,111,105,106,108,2,1,1,2,2,1,1,1,1,1
1048,[2],[1],[2],[4],[5],[1],[2],[2],[1],[0],1946033,86,84,81,80,79,78,85,82,87,1,1,1,1,1,1,2,2,1,0
1049,[1],[1],[2],[1],[2],[2],[1],[1],[1],[1],1962102,81,94,92,95,90,88,96,91,78,1,2,1,1,1,1,1,1,1,1
