,Actual Vote of Justice 1,Actual Vote of Justice 2,Actual Vote of Justice 3,Actual Vote of Justice 4,Actual Vote of Justice 5,Actual Vote of Justice 6,Actual Vote of Justice 7,Actual Vote of Justice 8,Actual Vote of Justice 9,Actual Winning Party,Case IDs,Code for Justice 1,Code for Justice 2,Code for Justice 3,Code for Justice 4,Code for Justice 5,Code for Justice 6,Code for Justice 7,Code for Justice 8,Code for Justice 9,Prediction Vote of Justice 1,Prediction Vote of Justice 2,Prediction Vote of Justice 3,Prediction Vote of Justice 4,Prediction Vote of Justice 5,Prediction Vote of Justice 6,Prediction Vote of Justice 7,Prediction Vote of Justice 8,Prediction Vote of Justice 9,Prediction for Winning Party
63,[1],[1],[2],[1],[1],[1],[1],[1],[3],[1],2014029,109,110,112,113,114,111,105,106,108,1,2,1,1,2,1,1,1,1,1
64,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],2005070,106,107,108,109,110,111,112,103,105,1,1,1,1,1,1,1,1,1,1
65,[1],[1],[1],[1],[1],[2],[1],[2],[3],[1],1977079,94,98,92,95,99,100,101,102,103,1,1,1,1,1,2,1,2,1,1
66,[1],[1],[1],[1],[1],[1],[1],[1],[4],[1],1963084,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,1,1,1
67,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],1977088,94,98,92,95,99,100,101,102,103,1,1,1,1,1,1,1,1,1,1
68,[1],[1],[1],[1],[1],[1],[1],[1],[4],[1],1996064,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,1
69,[2],[2],[1],[1],[2],[3],[3],[1],[1],[1],1984111,98,92,95,99,100,101,102,103,104,2,2,1,1,2,1,1,1,1,1
70,[1],[1],[1],[1],[1],[1],[1],[1],[2],[1],1962101,81,94,92,95,90,88,96,91,78,1,1,1,1,1,1,1,1,1,1
71,[2],[2],[1],[2],[1],[2],[1],[1],[1],[1],1989007,98,92,95,100,102,103,104,105,106,2,2,1,2,1,2,1,1,1,0
72,[2],[2],[4],[1],[2],[5],[4],[2],[4],[1],1982080,98,92,95,99,100,101,102,103,104,2,2,1,1,2,1,1,2,1,1
73,[1],[1],[1],[1],[1],[3],[3],[1],[4],[1],2003039,104,105,106,107,108,109,110,102,103,1,1,1,1,1,1,1,1,1,1
74,[2],[1],[1],[1],[1],[1],[1],[1],[1],[1],1955017,89,91,78,81,90,88,80,86,79,1,1,1,1,1,1,1,1,1,1
75,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1959075,80,93,91,78,81,94,92,90,88,1,1,1,1,1,1,1,1,1,1
76,[3],[1],[1],[3],[1],[1],[1],[4],[1],[0],2008017,107,108,109,110,112,111,103,105,106,1,1,1,1,1,1,1,1,1,1
77,[1],[1],[1],[1],[1],[1],[1],[1],[1],[0],2002059,110,102,103,104,105,106,107,108,109,1,1,1,1,1,1,1,1,1,0
78,[1],[2],[1],[1],[1],[1],[2],[1],[4],[1],1964038,81,94,92,95,90,88,96,91,78,1,2,1,1,1,1,2,1,1,1
79,[1],[1],[2],[3],[4],[1],[4],[1],[1],[1],1952013,88,86,84,81,80,79,78,87,89,1,1,2,1,1,1,1,1,1,0
80,[1],[2],[1],[1],[1],[2],[1],[4],[1],[1],1962054,81,94,92,95,90,88,96,91,78,1,2,1,1,1,2,1,1,1,1
81,[1],[1],[1],[2],[1],[2],[2],[1],[1],[0],1973090,100,101,102,81,94,98,92,95,99,1,1,1,2,1,2,2,1,1,1
82,[1],[3],[1],[1],[1],[3],[3],[1],[1],[0],2003066,104,105,106,107,108,109,110,102,103,1,1,1,1,1,1,1,1,1,1
83,[1],[1],[2],[1],[1],[1],[1],[1],[1],[1],1981020,98,92,95,99,100,101,102,103,104,1,1,1,1,1,1,1,1,1,1
84,[1],[2],[2],[2],[3],[1],[3],[1],[2],[1],1977135,94,98,92,95,99,100,101,102,103,1,2,2,1,1,1,1,1,1,1
85,[1],[1],[1],[1],[1],[1],[2],[1],[2],[0],1997006,106,107,108,109,110,102,103,104,105,1,1,1,1,1,1,1,1,1,1
86,[1],[1],[1],[1],[2],[1],[1],[1],[1],[1],2014068,110,112,113,114,111,106,108,109,110,1,1,1,1,1,1,1,1,1,1
87,[3],[1],[4],[1],[2],[1],[2],[4],[4],[0],1967099,91,92,94,95,97,98,91,78,81,1,1,1,1,1,1,1,1,2,1
88,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1950021,89,88,86,84,81,80,79,78,87,1,1,1,1,1,1,1,1,1,1
89,[4],[1],[4],[1],[1],[1],[2],[2],[1],[0],1967092,94,98,92,95,90,97,91,78,81,1,1,1,1,1,1,2,2,1,0
90,[1],[1],[1],[1],[1],[2],[2],[2],[1],[1],1973148,100,101,102,81,94,98,92,95,99,1,1,1,1,1,1,1,1,1,1
91,[1],[1],[1],[1],[2],[1],[1],[1],[1],[1],1995040,106,107,108,109,110,102,103,104,105,1,1,1,1,2,1,1,1,1,1
92,[3],[3],[4],[2],[2],[1],[2],[1],[1],[0],1952043,88,86,84,81,80,79,78,87,89,1,1,1,2,2,1,2,1,1,0
93,[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],1987128,98,92,95,100,102,103,104,105,106,1,1,1,1,1,1,1,1,1,1
